id,dist,ress,spec,loc_cate,tras_cate,lat,lon,f_ress,b_stat_id,,변수값,실제 
0,종로구,사직로 125,경복궁역 4번출구,지하철역 입구,일반쓰레기,37.57613445,126.972895,종로구사직로 125경복궁역 4번출구지하철역 입구,,,b_stat,bus station
1,종로구,사직로 125,경복궁역 4번출구,지하철역 입구,재활용쓰레기,37.57613445,126.972895,종로구사직로 125경복궁역 4번출구지하철역 입구,,,stat,station
2,종로구,자하문로 28,스타벅스 앞,도로변(횡단보도 포함),일반쓰레기,37.57856709,126.9719698,종로구자하문로 28스타벅스 앞도로변(횡단보도 포함),,,cate,category
3,종로구,자하문로 28,스타벅스 앞,도로변(횡단보도 포함),재활용쓰레기,37.57856709,126.9719698,종로구자하문로 28스타벅스 앞도로변(횡단보도 포함),,,dist,district
4,종로구,자하문로 44,라파리나 카페 앞,도로변(횡단보도 포함),일반쓰레기,37.57997173,126.97155,종로구자하문로 44라파리나 카페 앞도로변(횡단보도 포함),,,ress,address
5,종로구,자하문로 44,라파리나 카페 앞,도로변(횡단보도 포함),재활용쓰레기,37.57997173,126.97155,종로구자하문로 44라파리나 카페 앞도로변(횡단보도 포함),,,spec,specific
6,종로구,자하문로 68,평화제과 앞,도로변(횡단보도 포함),일반쓰레기,37.58210072,126.9709316,종로구자하문로 68평화제과 앞도로변(횡단보도 포함),,,loc,located
7,종로구,자하문로 68,평화제과 앞,도로변(횡단보도 포함),재활용쓰레기,37.58210072,126.9709316,종로구자하문로 68평화제과 앞도로변(횡단보도 포함),,,tras,trascan
8,종로구,자하문로 13-2,경복궁역 2번출구방면 뉴욕버거 앞,도로변(횡단보도 포함),일반쓰레기,37.57737661,126.9719681,종로구자하문로 13-2경복궁역 2번출구방면 뉴욕버거 앞도로변(횡단보도 포함),,,f_ress,full_address
9,종로구,자하문로 13-2,경복궁역 3번출구방면 뉴욕버거 앞,도로변(횡단보도 포함),재활용쓰레기,37.57737661,126.9719681,종로구자하문로 13-2경복궁역 3번출구방면 뉴욕버거 앞도로변(횡단보도 포함),,,,
10,종로구,효자로 13길 45,청와대 사랑채 분수대 앞,도로변(횡단보도 포함),일반쓰레기,37.58254488,126.9730593,종로구효자로 13길 45청와대 사랑채 분수대 앞도로변(횡단보도 포함),,,,
11,종로구,효자로 13길 45,청와대 사랑채 분수대 앞,도로변(횡단보도 포함),재활용쓰레기,37.58254488,126.9730593,종로구효자로 13길 45청와대 사랑채 분수대 앞도로변(횡단보도 포함),,,,
12,종로구,사직동 1-28,버스정류장(01-1113),"정류소(버스,택시 등)",일반쓰레기,37.57593651,126.9672638,"종로구사직동 1-28버스정류장(01-1113)정류소(버스,택시 등)",1113,,,
13,종로구,사직동 1-28,버스정류장(01-1113),"정류소(버스,택시 등)",재활용쓰레기,37.57593651,126.9672638,"종로구사직동 1-28버스정류장(01-1113)정류소(버스,택시 등)",1113,,,
14,종로구,자하문로1길 12,털보집 앞,상가지역,일반쓰레기,37.57657314,126.971748,종로구자하문로1길 12털보집 앞상가지역,,,,
15,종로구,자하문로1길 50-1,더삼겹 185 앞,상가지역,일반쓰레기,37.57700997,126.96968,종로구자하문로1길 50-1더삼겹 185 앞상가지역,,,,
16,종로구,자하문로1길 34,넘버원양꼬치 앞 ,상가지역,일반쓰레기,37.5766124,126.9705504,종로구자하문로1길 34넘버원양꼬치 앞 상가지역,,,,
17,종로구,자하문로1길 49-4,해태상회 앞,상가지역,일반쓰레기,37.57676216,126.9695478,종로구자하문로1길 49-4해태상회 앞상가지역,,,,
18,종로구,청운동 129,호호당 앞,상가지역,일반쓰레기,37.58512502,126.9699485,종로구청운동 129호호당 앞상가지역,,,,
